isNode,name,x,y,color,radius,community,from,to

true,22,,,,,,,
true,23,,,,,,,
true,24,,,,,,,
true,25,,,,,,,
true,26,,,,,,,
true,27,,,,,,,
true,28,,,,,,,
true,29,,,,,,,
true,30,,,,,,,
true,31,,,,,,,
true,10,,,,,,,
true,32,,,,,,,
true,11,,,,,,,
true,33,,,,,,,
true,12,,,,,,,
true,34,,,,,,,
true,13,,,,,,,
true,14,,,,,,,
true,15,,,,,,,
true,16,,,,,,,
true,17,,,,,,,
true,18,,,,,,,
true,19,,,,,,,
true,1,,,,,,,
true,2,,,,,,,
true,3,,,,,,,
true,4,,,,,,,
true,5,,,,,,,
true,6,,,,,,,
true,7,,,,,,,
true,8,,,,,,,
true,9,,,,,,,
true,20,,,,,,,
true,21,,,,,,,
false,0,,,,,,1,2
false,1,,,,,,1,3
false,2,,,,,,2,3
false,3,,,,,,1,4
false,4,,,,,,2,4
false,5,,,,,,3,4
false,6,,,,,,1,5
false,7,,,,,,1,6
false,8,,,,,,1,7
false,9,,,,,,5,7
false,10,,,,,,6,7
false,11,,,,,,1,8
false,12,,,,,,2,8
false,13,,,,,,3,8
false,14,,,,,,4,8
false,15,,,,,,1,9
false,16,,,,,,3,9
false,17,,,,,,3,10
false,18,,,,,,1,11
false,19,,,,,,5,11
false,20,,,,,,6,11
false,21,,,,,,1,12
false,22,,,,,,1,13
false,23,,,,,,4,13
false,24,,,,,,1,14
false,25,,,,,,2,14
false,26,,,,,,3,14
false,27,,,,,,4,14
false,28,,,,,,6,17
false,29,,,,,,7,17
false,30,,,,,,1,18
false,31,,,,,,2,18
false,32,,,,,,1,20
false,33,,,,,,2,20
false,34,,,,,,1,22
false,35,,,,,,2,22
false,36,,,,,,24,26
false,37,,,,,,25,26
false,38,,,,,,3,28
false,39,,,,,,24,28
false,40,,,,,,25,28
false,41,,,,,,3,29
false,42,,,,,,24,30
false,43,,,,,,27,30
false,44,,,,,,2,31
false,45,,,,,,9,31
false,46,,,,,,1,32
false,47,,,,,,25,32
false,48,,,,,,26,32
false,49,,,,,,29,32
false,50,,,,,,3,33
false,51,,,,,,9,33
false,52,,,,,,15,33
false,53,,,,,,16,33
false,54,,,,,,19,33
false,55,,,,,,21,33
false,56,,,,,,23,33
false,57,,,,,,24,33
false,58,,,,,,30,33
false,59,,,,,,31,33
false,60,,,,,,32,33
false,61,,,,,,9,34
false,62,,,,,,10,34
false,63,,,,,,14,34
false,64,,,,,,15,34
false,65,,,,,,16,34
false,66,,,,,,19,34
false,67,,,,,,20,34
false,68,,,,,,21,34
false,69,,,,,,23,34
false,70,,,,,,24,34
false,71,,,,,,27,34
false,72,,,,,,28,34
false,73,,,,,,29,34
false,74,,,,,,30,34
false,75,,,,,,31,34
false,76,,,,,,32,34
false,77,,,,,,33,34
